Field=#~Integer~#~50|Field=Designator~String~Designator~100|Field=LibRef~String~LibRef~100|Field=Comment~String~Comment~100|Field=Quantity~Integer~Quantity~100|Field=Description~String~Description~100|Field=LogicalDesignator~String~LogicalDesignator~100|Field=PhysicalPath~String~PhysicalPath~100|Field=Project~String~Project~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Leningrad.PrjPcb|ReportField=ProjectFullPath~D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb|ReportField=Title~Bill of Materials For PCB Document [Leningrad_modify.PcbDoc]|ReportField=TotalQuantity~250|ReportField=ReportTime~15:04:24|ReportField=ReportDate~26.04.2026|ReportField=ReportDateTime~26.04.2026 15:04:24|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=DataSourceFileName~Leningrad_modify.PcbDoc|ReportField=DataSourceFullPath~D:\Altium\Project\Leningrad modify\Leningrad_modify.PcbDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
146|R27|Res2|Res2|1|Resistor|R27|ZX_Main\In|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
147|R28|Res2|Res2|1|Resistor|R28|ZX_Main\In|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
148|R29|Res2|Res2|1|Resistor|R29|ZX_Main\In|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
149|R30|Res2|Res2|1|Resistor|R30|ZX_Main\In|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
150|R31|Res2|Res2|1|Resistor|R31|ZX_Main\In|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
151|R32|Res2|Res2|1|Resistor|R32|ZX_Main\In|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
152|R33|Res2|Res2|1|Resistor|R33|ZX_Main\In|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
153|R34|Res2||1|Resistor|R34|ZX_Main\CR|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
154|R35|Res2||1|Resistor|R35|ZX_Main\CR|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
155|R36|Res2|Res2|1|Resistor|R36|ZX_Main\In|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
156|R37|Res2||1|Resistor|R37|ZX_Main\CR|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
157|R38|Res2|Res2|1|Resistor|R38|ZX_Main\In|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
158|R39|Res2||1|Resistor|R39|ZX_Main\CR|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
159|R40|Res2|Res2|1|Resistor|R40|ZX_Main\In|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
160|R41|Res2||1|Resistor|R41|ZX_Main\CR|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
161|R42|Res2|Res2|1|Resistor|R42|ZX_Main\In|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
162|R43|Res2||1|Resistor|R43|ZX_Main\CR|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
163|R44|Res2|Res2|1|Resistor|R44|ZX_Main\In|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
164|R45|Res2|Res2|1|Resistor|R45|ZX_Main\In|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
165|R46|Res2|Res2|1|Resistor|R46|ZX_Main\In|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
166|R47|Res2||1|Resistor|R47|ZX_Main\CR|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
167|R48|Res2||1|Resistor|R48|ZX_Main\CR|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
168|R49|Res2|Res2|1|Resistor|R49|ZX_Main\In|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
169|R50|Res2|Res2|1|Resistor|R50|ZX_Main\In|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
170|R51|Res2|Res2|1|Resistor|R51|ZX_Main\In|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
171|R52|Res2|Res2|1|Resistor|R52|ZX_Main\Key|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
172|R53|Res2|Res2|1|Resistor|R53|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
173|R54|Res2|Res2|1|Resistor|R54|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
174|R55|Res2|Res2|1|Resistor|R55|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
175|R56|Res2||1|Resistor|R56|ZX_Main\CR|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
176|R57|Res2|Res2|1|Resistor|R57|ZX_Main\Audio|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
177|R58|Res2|Res2|1|Resistor|R58|ZX_Main\Audio|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
178|R59|Res2|Res2|1|Resistor|R59|ZX_Main\Audio|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
179|R60|Res2|Res2|1|Resistor|R60|ZX_Main\Audio|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
180|R61|Res2|Res2|1|Resistor|R61|ZX_Main\Audio|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
181|R62|Res2|Res2|1|Resistor|R62|ZX_Main\Audio|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
182|R63|Res2|Res2|1|Resistor|R63|ZX_Main\Con|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
187|U1|SN74HC04N||1|Hex Inverter|U1|ZX_Main\CG|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
188|U2|SN74HC74N||1|Dual D-Type Positive-Edge-Triggered Flip-Flop with Clear and Preset|U2|ZX_Main\CG|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
189|U3|SN74HC193N||1|4-Bit Synchronous Up/Down Counter (Dual Clock with Clear)|U3|ZX_Main\CG|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
190|U4|SN74HC193N||1|4-Bit Synchronous Up/Down Counter (Dual Clock with Clear)|U4|ZX_Main\CG|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
191|U5|SN74HC193N||1|4-Bit Synchronous Up/Down Counter (Dual Clock with Clear)|U5|ZX_Main\CG|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
192|U6|SN74HC193N||1|4-Bit Synchronous Up/Down Counter (Dual Clock with Clear)|U6|ZX_Main\CG|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
193|U7|MC14520BCP||1|Dual Binary Up Counter|U7|ZX_Main\VC|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
194|U8|SN74HC74N||1|Dual D-Type Positive-Edge-Triggered Flip-Flop with Clear and Preset|U8|ZX_Main\VC|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
195|U9|SN74HC74N||1|Dual D-Type Positive-Edge-Triggered Flip-Flop with Clear and Preset|U9|ZX_Main\CS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
196|U10|SN74HC02N||1|Quadruple 2-Input Positive-NOR Gate|U10|ZX_Main\CS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
197|U11|SN74HC86N||1|Quadruple 2-Input Exclusive-OR Gate|U11|ZX_Main\VS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
198|U12|SN74HC00N||1|Quadruple 2-Input Positive-NAND Gate|U12|ZX_Main\CS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
199|U13|SN74HC08N||1|Quadruple 2-Input Positive-AND Gate|U13|ZX_Main\CS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
200|U14|SN74HC32N||1|Quadruple 2-Input Positive-OR Gate|U14|ZX_Main\CS|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
201|U15|SN74HC257N||1|Quadruple 2-Line to 1-Line Data Selector/Multiplexer with 3-State Outputs|U15|ZX_Main\MC|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
202|U16|SN74HC257N||1|Quadruple 2-Line to 1-Line Data Selector/Multiplexer with 3-State Outputs|U16|ZX_Main\MC|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
203|U17|SN74HC257N||1|Quadruple 2-Line to 1-Line Data Selector/Multiplexer with 3-State Outputs|U17|ZX_Main\MC|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
204|U18|SN74HC257N||1|Quadruple 2-Line to 1-Line Data Selector/Multiplexer with 3-State Outputs|U18|ZX_Main\MC|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
205|U19|SN74HC257N||1|Quadruple 2-Line to 1-Line Data Selector/Multiplexer with 3-State Outputs|U19|ZX_Main\MC|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
206|U20|Z84C0004PEC|Z84C0004PEC|1|CMOS 8-Bit Microprocessor|U20|ZX_Main\CR|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
207|U21|MN41256A-08|MN41256A-08|1||U21|ZX_Main\Mem|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
208|U22|MN41256A-08|MN41256A-08|1||U22|ZX_Main\Mem|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
209|U23|MN41256A-08|MN41256A-08|1||U23|ZX_Main\Mem|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
210|U24|MN41256A-08|MN41256A-08|1||U24|ZX_Main\Mem|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
211|U25|MN41256A-08|MN41256A-08|1||U25|ZX_Main\Mem|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
212|U26|MN41256A-08|MN41256A-08|1||U26|ZX_Main\Mem|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
213|U27|MN41256A-08|MN41256A-08|1||U27|ZX_Main\Mem|D:\Altium\Project\Leningrad modify\Leningrad.PrjPcb
